season,week,game_id,posteam,defteam,player_id,pass_attempt,complete_pass,passing_yards,pass_touchdown,interception,rush_plays,rushing_yards,rush_touchdown,reception,receiving_yards,receiving_touchdown,fumble_lost,rush_inside_10,rush_inside_20,target_inside_10,target_inside_20,total_touches,fantasy_points
2025,1,2025_01_ARI_NO,ARI,NO,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2025,1,2025_01_ARI_NO,ARI,NO,00-0033553,0.0,0.0,0.0,0.0,0.0,12,39.0,0.0,4.0,5.0,1.0,0.0,1,2,1,1,16.0,14.4
2025,1,2025_01_ARI_NO,ARI,NO,00-0033891,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4.0,0.0,0.0,0,0,0,0,1.0,1.4
2025,1,2025_01_ARI_NO,ARI,NO,00-0035228,34.0,21.0,163.0,2.0,0.0,7,38.0,0.0,0.0,0.0,0.0,0.0,1,1,3,4,41.0,18.32
2025,1,2025_01_ARI_NO,ARI,NO,00-0035500,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,-2.0,0.0,0.0,0,0,0,0,1.0,0.8
2025,1,2025_01_ARI_NO,ARI,NO,00-0037744,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,61.0,0.0,0.0,0,0,1,1,6.0,12.100000000000001
2025,1,2025_01_ARI_NO,ARI,NO,00-0038559,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,0.0,0.0,0,0,0,0,1.0,1.5
2025,1,2025_01_ARI_NO,ARI,NO,00-0039041,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,0.0,0.0,0,0,0,1,1.0,1.3
2025,1,2025_01_ARI_NO,ARI,NO,00-0039737,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,10.0,0.0,0.0,0,0,0,0,1.0,2.0
2025,1,2025_01_ARI_NO,ARI,NO,00-0039849,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,71.0,1.0,0.0,0,0,1,1,5.0,18.1
2025,1,2025_01_ARI_NO,ARI,NO,00-0039921,0.0,0.0,0.0,0.0,0.0,8,69.0,0.0,1.0,6.0,0.0,0.0,1,2,0,0,9.0,8.5
2025,1,2025_01_ARI_NO,NO,ARI,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0
2025,1,2025_01_ARI_NO,NO,ARI,00-0031236,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,26.0,0.0,0.0,0,0,0,0,3.0,5.6
2025,1,2025_01_ARI_NO,NO,ARI,00-0033906,0.0,0.0,0.0,0.0,0.0,11,45.0,1.0,2.0,12.0,0.0,0.0,1,2,0,0,13.0,13.7
